,name,rate,review
10,해장요리전문 임사부국밥 미사점,,마감시간 임박해서 갔는데 포장주문 친절하게 받아주시고 서비스 음료도 주셔서 감사했어요!! 돼지국밥+매콤해장국밥+떡갈비 2인세트 주문했는데 양도  푸짐하고 국물 진한데 냄새도 안나고 맛있었어요!! 떡갈비도 사이드로 먹기 좋았어요! 담엔 다른 메뉴 도전하려구요!! 😋
11,해장요리전문 임사부국밥 미사점,,양도 많고 맛있어요~👍🏻👍🏻
12,해장요리전문 임사부국밥 미사점,,국밥 메뉴야 당연히 맛있구 밑반찬이 다양해서 좋았어요. 다음엔 다른 메뉴도 먹어봐야겠네요~
13,해장요리전문 임사부국밥 미사점,,속이 텅 비었을 때 국밥이 최고죠 든든하게 배를 채워주니 행복해요 맛도 일품이라 기분까지 좋아져요 다음에 또 와야겠어요
14,해장요리전문 임사부국밥 미사점,,"국밥 한 그릇 뚝딱했는데, 세상에 양 진짜 푸짐하네요! 이 가격에 이렇게 든든하기까지 하다니, 단골 예약이요~"
15,해장요리전문 임사부국밥 미사점,,위치가 정말 좋아요 교통도 편리하고 찾기도 쉽더라구요 주차도 가능해서 이용하기 편해요
16,해장요리전문 임사부국밥 미사점,,가성비 좋은 맛집을 찾아 헤맸는데 여기서 해결됐다. 국물이 진하고 재료도 신선해서 만족스러웠다.
17,해장요리전문 임사부국밥 미사점,,가격 대비 양도 푸짐해서 여러모로 단골삼고싶네요 다음에 또 방문하고 싶은 곳입니다
18,해장요리전문 임사부국밥 미사점,,배부르게 한끼 해결했습니다. 푸짐한 양에 깔끔한 서비스까지 더해져 만족스러운 식사였습니다.
19,해장요리전문 임사부국밥 미사점,,국밥집 분위기가 너무 좋아요. 아늑하고 편안한 느낌이에요. 맛도 일품이고 직원분들도 친절해서 자주 찾게 될 것 같아요!
20,바이더크릭(by the creek),,코젤 러버인데.. 시나몬 가루 많이 뿌려주셔요~~🩷 미사주민 아닌데도 자주 와서 먹을 정도로 좋아요!!! 미사호수공원 경치도 최고입니당. 🫶🏻
21,바이더크릭(by the creek),,비오는날엔 바이더크릭의 을지로골뱅이가 생각난다죠!신랑이랑 댕댕이랑 같이 출동했습니다😄골뱅이랑 옛날통닭이랑 최애메뉴❤️루프탑에서 미사호수공원 뷰 보며 캠핑 느낌으로 따뜻하고 맛있게 먹었어요~댕댕이랑 같이 가면 챙겨주시는 댕댕이먹태😆자기건줄 아는지 킁킁 난리입니다 ㅋㅋㅋ미사 루프탑 뷰 맛집 바이더크릭 최고👍
22,바이더크릭(by the creek),,"맛있구, 뷰가좋아요가을에 딱 좋습니다"
23,바이더크릭(by the creek),,날은덥지. 분위기가 좋았습니다먹태소스맛이 조금 아쉽긴했어요
24,바이더크릭(by the creek),,위치가 넘 좋아요 공기 좋은 날 호수 바라보면서 여유부리기 좋음 바이젠 맛있고 미사수제맥주는 잘모르겠어요 기본 안주 팝콘이 살찔거같은데 넘 맛있어서 순삭함 ㅠㅠ 맥주를 부르는 맛이에요
25,바이더크릭(by the creek),,분위기 좋아요^^!!
26,바이더크릭(by the creek),,♡
27,바이더크릭(by the creek),,미시애견동반맥주집 루프탑 바이더크릭❣️여기는 루프탑에서보는 시티뷰랑 미시호수공원의 탁 틔인 뷰가 환상인 곳이에요~!!그리고 반려견동반가능한 곳이여서 저희부부의 최애 맥주집이에요😍 추워져서 루프탑은 어렵겠지라고 생각했지만 왠걸요?!왕큰 텐트에 평상을 넣어두셔서 여기 캠핑감성 한가득 더해졌더라고요!!제가 방문한 날 비가왔는데 비와도 걱정없어요!!!비오면 무조건 루프탑 바이더크릭 감성텐트로 고고☝️담요도 준비되어있고 전기장판도 깔려있고 히터도 있어서 더워요 ㅎㅎ옛날통닭이랑 을지로골뱅이는 제일 좋아하는 메뉴에요😆 왠만한 치킨집보다 맛있는 치킨이라고요!!비오는날 따뜻한 텐트안에서 먹으니 이 분위기 어쩔💕여기 금방 만석됩니다!! 꼭 와보세요 진짜 최고👍👍
28,바이더크릭(by the creek),,겨울에도 밖에서 분위기있게 술 한잔 할 수 있는 곳이 있다해서 갔어요! 예상보다 더 아늑해서 친구와 수다 열심히 떨며 좋은 시간 보냈네요 난방에 무릎덮개까지 정말 1도 안 추웠어요 ㅎㅎ 술도 다양해서 좋았고 안주로 먹은 옛날통닭도 너무 맛있었어요 ㅎㅎ 이번엔 둘이 갔는데 다음엔 넷이 가보려고요! 
29,바이더크릭(by the creek),,좋아요
30,카멜레온 다이닝(CHAMELEON DINING),,술상한상 너무 다양하고 음식이 너무 맛있어요 😍 리버뷰에 조명이 너무 이뻐요 데이트 하러 오기 너무 좋아요 이런곳이 미사에 있었다니 ㅠ 특히 가격대비 안주 쿼리티가 너무 좋습니다 연어랑 육회에 떡볶이 김치전.. 사장님한테 취향을 간파당한 느낌이었어요 좋아하는 음식들로만 구성되어있다니.. 사장님이 소믈리에 출신이시라 어울리는 안주 구성을 잘아시는거같아요 너무 맛있었고 저랑 남자친구 둘다 너무 만족했던 식사었어요 차돌떡볶이 한번 더 시킨건 안비밀...
31,카멜레온 다이닝(CHAMELEON DINING),,"이름처럼 낮과밤이 다른 감각적인 퓨전다이닝 이자카야예요.들어서자마자 2층에서 보이는 환상적인 야경뷰에 감탄~주문한'안주한상'을 받아보곤 그 구성과 맛에 감동! 입이쩍~😮 우둔살이아닌 투뿔한우의 귀한 꾸리살을 사용해서인지 그맛이 진짜 소~름 돋게 맛났어요ㅋ 게다가 특제소스 이게또 이집의 킬포~ 소스에찍어 와사비 살짝 올려먹으니,저세상 극강의맛!👍🤩기름기 적당한 연어,담백한 광어로 만들어먹은 초밥에 우삼겹이 들어있는 떡볶이,김치전에 감튀까지..어쩜 하나같이 다 맛있네요 안주한상에 골고루 다양하게 맛볼수 있어서 너무도 매력적인곳. 그야말로 뷰는거들뿐~음식맛이 다한 찐맛집 인정! 제 맛집리스트에 꾹 저장~ 했답니당~^^*"
32,카멜레온 다이닝(CHAMELEON DINING),,"카멜레온 다이닝은 다양한 메뉴와 감각적인 요리로 유명한 다이닝 레스토랑이에요. 👍🏻이곳은 이름처럼 메뉴에 따라 다양한 요리를 경험할 수 있는 곳으로, 각각의 요리가 독특한 맛과 플레이팅으로 제공됩니다. 🥰재료의 신선함이 돋보이며, 섬세하게 조리된 음식들이 입맛을 사로잡아요. 💕특히 분위기와 인테리어도 고급스럽고 세련되어 특별한 날이나 데이트 장소로도 제격입니다. 🫶🏻직원들도 친절하고 세심한 서비스를 제공해 전반적으로 만족스러운 식사 경험을 할 수 있어요. 👏🏻색다른 미식 경험을 원한다면 카멜레온 다이닝을 추천합니다!😻"
33,카멜레온 다이닝(CHAMELEON DINING),,"마음에 들었던 점으로 선택할 수 있는 게다섯 개뿐이라 너무너무 아쉬운 마음 ㅜ.ㅜ그만큼 만족했던 곳인데요,분위기도 좋고 뷰도 멋있는 데다가 메뉴 구성까지 상당히 알찬 곳이었어요!다른 곳에서는 안주 한두가지 주문할 가격에 무려 9가지의 음식을 몽땅 담은 한상메뉴가 진짜 가성비 좋더라고요.여기 뷰가 워낙 좋아 낮에와도 좋을 것 같은데메뉴에서 이미 검증 끝났으니 다음엔 낮방문 노려볼게요!-!"
34,카멜레온 다이닝(CHAMELEON DINING),,집 주변에 새로 생겨서 와봤는데 기대 이상으로 너무 좋았어요.1. 입짧은 내 취저 다양한 메뉴 구성세트 2. 회킬러 내 취저 숙성회 존맛3. 위생적인 내부와 뷰 맛집숙성회도 육회도 사이드 떡볶이 김치전 등 꽤괜이네요또 방문 예정~
35,카멜레온 다이닝(CHAMELEON DINING),,뷰가 너무 좋고 연어샐러드가 넘 신선하구 맛있었어요사진도 넘 잘나오구분위기도 좋아서 대화하기도 좋았어요!!!정말 특별한 파스타까지 맛있게먹구위치 넘 좋아요 먹구 산책하기도 딱 좋음🧚🏻우유 아이스크림까지 브런치 오픈기념 서비스로 주셨는데 디저트까지 완벽❤️ 했습니다데이트장소로 넘 좋은것같아요😆👍👍👍
36,카멜레온 다이닝(CHAMELEON DINING),,브런치먹으러 왔어요~ 통창으로 미사호수공원뷰가 보여서 너무 좋았어요. 밤에는 이자카야한다는데 분위기 너무 좋을것 같아서 밤에 와보고싶네요. 음식 맛있고 커피도 딱 구수하고 진하니 맛있어요~ 사장님 친절하시고 또 올께요~
37,카멜레온 다이닝(CHAMELEON DINING),,"미사호수공원 딱 보이는데다가 여기 진짜 맛집이에요. 트러플크림파스타 완전 크리미하고 풍미진하고 맛있어요. 또 먹고싶은 맛있는 맛이구, 커피도 맛나요. 오픈이벤트로 리뷰쓰면 아이스크림도 주는데 얘도 너무 맛있음! 또 오고싶은 그런맛집이었어요👍"
38,카멜레온 다이닝(CHAMELEON DINING),,분위기 좋다고해서 방문했는데 맛도 대박이에요. 사장님이 오마카세 쉐프 출신이라더니 구성은 오마카세인데 가격은 동네 술집 가격~ 이 가격에 이 퀄리티 음식을 먹을 수 있다니 너무 좋아요. 통창으로 되어 있어서 미사호수공원이 한 눈에 보입니다. 맛과 분위기를 모두 잡은 미사역 맛집~
39,카멜레온 다이닝(CHAMELEON DINING),,비오는 날 창밖의 뷰로 운치있는 브런치 했어요.새로 생긴 곳인데 음식 깔끔하고 브런치에 음료포함이라 가성비도 좋구요~  저녁이면 다이닝이라 다른컨셉 이색적이에요^^미사 뷰좋은 브런치 원하시면 들러보세요솔치파스타 굿굿!  지역화폐 결제도 되네요~
40,낙원할머니뼛칼 본점,,하남경찰서앞에 간단하게 먹을 수 있는 칼국수집이에요! 얼큰한 해장국과 감자탕고기와 함께 든든하게먹을 수 있어요 ! 고기도 부드럽고 칼국수면도 간이 잘 베어있네요. 아이도 같이 다녀왔는데 적당히 매운맛에 아이도 잘먹더라구요 👀  야채도 모두 신선하고 매장도 깔끔하고 직원분들모두 친절하셔서 기분좋게 먹고왔습니다 ✨
41,낙원할머니뼛칼 본점,,맛있게 잘 먹었습니다.날씨가 갑자기 추워져서국물이 생각났는데 얼큰한 해장국이 맛있드라구요~^^매장도 깨끗하고 친절하세요.~
42,낙원할머니뼛칼 본점,,뼈해장국도 먹고뼈칼국수도 있는 낙원할머니 뼛칼입니다든든한 한끼 먹을수 있는  뼈해장국뼈들도 크고 살밥도 많이 붙어 있어요아이들 같이 오셔도 돈까스 만두도 있어서가족외식으로도 좋은 곳이네요
43,낙원할머니뼛칼 본점,,"뼈칼국수랑 우거지해장국, 미니돈까스 시켰어요!돈가스 기대 안했는데 너무 맛있더라구요♡가게도 깔끔하고, 양도 많고, 무엇보다 맛있어요!!특히 배추김치..♡♡"
44,낙원할머니뼛칼 본점,,하남경찰서 앞에 맛집이 생겼네욤 뼈해장국 × 칼국수라니 정말 맛있게 먹었어욥 고기양도 푸짐하고 얼큰하니 맛있습니당 반찬도 깔끔하고 칼국수 진짜 맛있어요
45,낙원할머니뼛칼 본점,,"맛있습니다. 시아버님 모시고 방문 하였는데, 다음에 지나가며 또 오자고 하셨어요. 뼈칼국수라는 메뉴 자체가 칼캏하니 매력있고 석박지도 새콤히니 맛있습니다. 사장님도 친절하세요~ 매장도 깨끗합니다"
46,낙원할머니뼛칼 본점,,오늘은 순살뼈칼 ❤️❤️👍👍양도많고 맛도좋고즐거운 점심식사 였어요뼈해장국집이 뼈칼국수라니 ㅎㅎㅎㅎ대박나세용
47,낙원할머니뼛칼 본점,,깊은 국물 맛이나고 너무 자극 적이지도 않고 맛있어요 쥬차 할곳이 넉넉하지는 않지만 밥도 더 먹을 수 있고 좋습니다 많이 쌀쌀 해지는데 국물이 끝내줍니다.
48,낙원할머니뼛칼 본점,,뼛칼이란 메뉴가 특이하네요 맛도 있고 ㅎㅎ칼국수와 뼈의 만남 음 특히 해장국 베이스에 잘 어울리는듯담엔 다른 메뉴도 먹어봐야할듯 정통 뼈해장국 도전 고고~~~❤️❤️👍🏼❤️❤️👍🏼
49,낙원할머니뼛칼 본점,,국물도 진하고 맛있어요!!오픈한지 얼마 안되서 깨끗하고 서비스도 만족😍
50,하남 찰리황,,하남 미사 찰리황!! 매장 영업시간**매주 월요일 정기휴무**화요일 ~ 일요일 오전 11시 ~ 오후 9시30분        마지막주문 오후 8시30분브레이크 타임(평일) 3시 ~ 4시 30분                     (주말) 3시 ~ 4시모든 메뉴 포장가능 하네요!!*식사*옛날짜장.          7.000원/(매콤)쟁반짜장 9.000원통오징어짬뽕  10.000원/마늘볶음밥.      9.000원(매콤)잡채밥.   9.000원/생굴사천탕면. 10.000원(매콤)볶음짬뽕10.000원/우삼겹마라짬뽕10.000원매생이탕면.    11.000원*요리*블루베리탕수육 18.000원/사천탕수육 18.000원깐풍기  23.000원/라조기 23.000원/라조육23.000원외 다수
51,하남 찰리황,,우리 가족이 좋아하는 동네 중국집 ㅎㅎ 블루베리 탕수육 바삭하고 실하니 넘 맛나고요 짜장면은 말할 것도 없고 처음 시켜본 매콤 잡채밥 넘 맛났어요. 중식의 느끼함을 잘 잡아주는? ㅎㅎ 양은 어찌나 많이 주시는지 2인분같은 1인분 주셨네요 ㅎㅎ 아이도 넘나 잘 먹었습니다
52,하남 찰리황,,맛집인줄 모르고 먹다 뒤늦게 사진을 찍었네요! 양도 많고 맛있어요😆 앞으로 여기 메뉴들 도장깨기 들어갑니다! 사장님 셰프님 너무 친절하시고 식당 분위기도 좋고 기분좋게 식사하고 갑니다👍🏻👏🏻👏🏻
53,하남 찰리황,,너무 맛있어요 ^^
54,하남 찰리황,,존맛탱 쟁반짜장💖남자직원분 넘 친절하세요ㅎㅎ 유쾌하시고 추천메뉴도 잘 알려주십니당! 그리고 여기 쟁반짜장 꼬옥 드셔보세요! 내가 여태까지 먹은 쟁반짜장이 부정당한기분..? 너무 맛있어요ㅎㅎ✅직원이 넘 친절해요✅주차가능해요✅짬뽕 해물이 많아요✅쟁반짜장 넘 맛있어요세번 먹고 리뷰하고 싶어서 방문했슙니다ㅋㅋㅋ찐맛집
55,하남 찰리황,,"양도 많고 가격도 너무 착해요.탕수육, 양장피 진짜 맛있어요!음식 전부 가성비가 좋구 맛도 너무 맛있네요 ㅎㅎ너무 친절하시고 잘 설명, 응대해주셔서 감사합니다!다음에 또 재방문할게요!!"
56,하남 찰리황,,옛날짜장 맛있어요중국집 인테리어가 카페같아요
57,하남 찰리황,,"요즘 짬뽕, 짜장면, 탕수육 맛있는집 찾기 어려운데 진짜 맛있는 집근처 맛집이예용👍🏻 통오징어짬뽕이랑 탕수육 먹었는데 짬뽕도 얼큰하고, 탕수육도 쫀득하도 완존 맛있었어요☺️ 매장이 살짝 추웠는데 직원분들이 바로 해결해주셔서 따뜻하고 맛있게 잘 먹고 왔어용‼️"
58,하남 찰리황,,매장에서 고객이 편하게 음식을 먹을 수 있도록 해 주세요매장에 티비도 있고 스피커도 있는데 왜 있는지도 모르겠고분위기 적막한 가운데 식사 내내 직원 분 유튜브 보는 시끄러운 소리만 내내 들리고음식을 먹는데 여기서 먹어도 되나 싶을만큼 불편해서 혼났네요고객에 대한 기본적인 에티튜드가 부족한거 같습니다
59,하남 찰리황,,직원분들이 친절하고 음식이 맛있어요!
60,청록 미나리식당 미사강변점,,이 구성에 이 가격이 정말 흔하지 않은데 진짜 혜자스럽습니다…버섯 야채는 원래 별도추가인데 여기는 무한리필인 점이 신기했어요! 고기 질도 좋고 바로 옆이 뻥뚫린 뷰라 가족끼리 식사하러 가기도 좋을 것 같습니다 반반샤브 추천드립니다!👍👍
61,청록 미나리식당 미사강변점,,"우연히 검색하다 발견한곳!딱 내가 원하는 컨셉이다적당한 가격에 각종 야채 (미나리포함) 무한리필이라니!!!^^셀프바에서 가져다 먹음 된다.네이버 예약하고 가서 만두 두 개 서비스 제공 받음.미리 얘기할껄ㅎㅎ 알아서 챙겨주실줄알고 말 안 하고 있었더니 안 주셔서 여쭤보니 그제서야 챙겨주심ㅋ두개지만 왕만두라 든든해요ㅎ 꼭~! 챙겨드시길^^ 찌는데 시간 좀 걸리니 미리 말씀 하시길!! 맛.가격 모두 만족~!재방문의사 100% 이 컨셉, 가격 그대로 유지된다면 샤브샤브는 계속 이곳으로 갈 듯"
62,청록 미나리식당 미사강변점,,"저번에 건물에 일볼일이 있어서 지나간김에 외관이 깔끔해서 다음에 한번 가보자 했던곳 예약하고 갔는데 너무 맛있게 잘먹어서 고기도 재주문하고, 특히 야채 무제한, 진한맑은 국물,  맛있는 볶음밥, 서비스 만두가 생각나네요 ㅎㅎ 너무 잘먹었습니다"
63,청록 미나리식당 미사강변점,,진짜 너무 맛있습니다^^ 넓은 매장이라 가족식사 단체식사 하기도 좋구요. 요즘같이 고물가시대에 야채를 마음껏 눈치 안 보고 가져다 먹을 수 있는 곳이 과연 몇이나 될까요?? 사장님도 친절하시고 직원분들도 다 친절하세요. 음식 맛도 있구요. 주차도 편하고 간만에 너무 즐거운 식사 하고 나왔습니다. 가격도 전혀 안 비싸요. 다들 여기서 꼭 가족모임 하셨으면 좋겠어요. 다음에 또 들릴게요. 감사합니다!!!
64,청록 미나리식당 미사강변점,,데이트하러 하남왔다가 들른 하남샤브샤브집이에요 야채 너무너무 깨끗하고 신선했구요! 야채랑 죽이 무한리필이라 배터지게 먹었네요 가격도 괜찮고 뷰도 좋고 주차도 편해서 하남 데이트오면 종종 들를것같아요~~ 굿입니당~~~
65,청록 미나리식당 미사강변점,,"반반 샤브샤브 시켜서 먹었는데, 취향껏 먹을 수 있어서 너무 좋았어요! 얼큰한 육수는 장칼국수 느낌이라 더 좋더라구요! 그리고 진짜 미나리가 무한리필! 심지어 좋아하는 숙주와 버섯도 많아서 너무 좋았습니다. 뷰도 좋아요!!"
66,청록 미나리식당 미사강변점,,"큰 기대없이 방문했는데 진짜 맛있네요?입맛 까다로운 남편도 아이도 다들 맛있대요!!!특히 숙주랑 미나리랑 버섯, 리필도 편하게 할 수 있고, 고기도  좋았어요.다음엔 오리전골도 먹어보려구요.사장님 여기서 오래오래 번창하세요!"
67,청록 미나리식당 미사강변점,,"무한리필로 제공되는 건강에 좋은 미나리외에 신선한 버섯류,청경채와 함께 딱 봐도 선홍빛 질좋은 소고기를 익혀서 한젓가락에 입에 넣으니 그맛이 일품입니다겨자간장과 초고추장이 구비되어있어 기호에 따라 먹을수 있어서 그또한 좋네요나들이길에 우연히 들러본 식당인데 맛과 가성비면에서 아주 만족스러웠네요 다음기회엔 가족외식으로 다시 찾을거 같습니다"
68,청록 미나리식당 미사강변점,,언니들이랑 먹고 너무 맛있어서 신랑델꼬 왔네요야채가 싱싱하고 맛도 좋아요양이 많아서 죽은 조금 남겼어요...미나리 👍
69,청록 미나리식당 미사강변점,,"아이, 어른 모두 좋아할 만한 메뉴입니다. 주차 공간 넉넉하고 사장님도 친절하세요. 미나리와 야채 무한 리필로 많이 먹었는데칼국수와 죽도 너무 맛있어서 배가 부른데계속 먹게되네요."
70,미분당 미사역점,,너무 맛있었어요! 국물도 진하고 힘줄도 딱 제취향에 맞게 쫄낏쫄낏하고 너무 맛있었어요~ 앞으로 자주자주올게요~ 앞에 보니 주차등록하는 태블릿도 있는것으로 보아 주차도 가능한거같더라구요~ 차 가져가시는분들은 참고하세요~~
71,미분당 미사역점,,미분당 말해모합니까정말 맛나용:)혼밥하기도 좋구다른 지점도 가봤는데 여긴 더 맛있는듯?!사장님들이 한시도 안 쉬시고 계속 닦으셔서너무 빛이 납니다청결해서 더 먹기도 좋아요🩷미사역점 최고~~벌써 두번째 방문!!:)  또또또올게용내돈내산 노리뷰이벤트입니다^^
72,미분당 미사역점,,강변점보다 맛있는것 같아요 미사역에 바로 생겨서 좋은데다먹고 나오니까 뒷골목에 담배피는 사람이 너무 많아서위치가 조금 아쉽네요 ㅠ 맛있게 먹고나왔는데 담배연기 흡입함 육수는 다른 지점보다 맛있고 뜨끈하게 줘서 좋아여
73,미분당 미사역점,,마사 미분당 두곳이 있다 여기는 미사역점 같은 브랜드여도 맛과 분위기는 다르다 두곳 모두 면은 무한으로 주문하면 무료임미사역점은 면이 부드러운 장점이 있지만육수가 짜다 하지만 면의 후루룩 부드러움과 고기로 맛있게 먹긴 했지만육수는 조금 아쉬웠다
74,미분당 미사역점,,미분당은 말모말모고기의 이븐함과 면의 익힘정도가 좋았어요조용히 혼밥하기도좋고무엇보다 리필도된다는!
75,미분당 미사역점,,시식회때도 갔었는데 친절하시고 맛도 괜찮아서 또 왔습니당조용조용한 분위기라 혼밥하기도 좋아요저녁에 항상 사람 많은것같아요 ㅎㅎ면이나 숙주도 리필됩니당 고수도 따로 받을 수 있어요
76,미분당 미사역점,,미사에 새로생겨서 가봤는데양도 많고 진짜 맛있더라구요 🩵친절하도 넘맛있었어요 ㅎㅎㅎ
77,미분당 미사역점,,미사역근처에 미분당이 더 생겼는데 여기도 똑같이 맛있어요.베트남국수집 중에서 제일 좋아하는 집이예요.깔끔하고 맛있어요.
78,미분당 미사역점,,"매장도 조용하고, 특히 오픈키친이라그런지 깔끔한걸 한눈에 볼수있어서좋았습니다. 친절하시고 무엇보다 음식이 너무 맛있었어요!"
79,미분당 미사역점,,점점 더 맛있어지는 것 같아요.먹으면서 대파손질 하는 거 보고 놀랬어요얼마나 꼼꼼히 다듬고 세척하시는지 맛있는 이유가 있더라구요운동가는 아들이 면추가해서 든든히 잘먹었습니다 ㅋ
80,슬로우캘리 하남미사점,,새로 오픈했길래 한번 들어와봤는데 메뉴들도 다른 샐러드집이랑 차별화 되어있고 딱봐도 건강하고 신선한 재료로 만들어져서 클린식단하기 좋아요👍 사장님도 친절하시고 혼밥하기에 좌석도 잘 되어있어 맛있고 건강한 식사하고플때 종종 찾을것 같아요
81,슬로우캘리 하남미사점,,항상 회사근처에서 먹던 메뉴로 먹었는데미사 지점도 새로생겨서 와봤어요포케 체인점중에선슬로우켈리가 제일 맛있는것 같아요새가게라서 그런지 재료도 신선하고가게도 깨끗하네요 굿굿 혼밥하기에여기만한곳이 없쥬
82,슬로우캘리 하남미사점,,양도 푸짐하고 샐러드가 신선해서 너무 좋았어요~ 아보카도도 냉동 쓰지않으셔서 고소하게 잘 먹었습니다! 스파이시 튜나 볼 먹었는데 매콤하니 넘 맛있더라구요😖🩵🩵 사장님도 친절하시구 매장도 쾌적해서 혼밥하기 좋아요!
83,슬로우캘리 하남미사점,,"오픈 때부터 늘 깔끔하게 자주 방문하는 포케집 슬로우캘리,,, 가깝고 맛있고 신선하고 이만한 곳이 없죠!!클래식 연어 포케랑 스프도 따땃하니 부드럽고 좋습니다!!자주 방문해서 또 리뷰 쓰고 하려고요!! 배고플 때 먹어서 두배 맛있어요!!"
84,슬로우캘리 하남미사점,,새로 생긴 샐러드맛집이에요🩷 간단하게 먹으려고 통밀랩을 선택했는데! 이것도 엄청 커요 👍 내용물도 푸짐해서 완전 배부르게 먹고 가요ㅋㅋ 인테리어도 깔끔하고 내부 분위기도 쾌적해서 좋았어요 😋 담에 와선 포케 먹고 가려구요 😁
85,슬로우캘리 하남미사점,,재료의 이름을 하나하나 다 알진 못하지만 기분 좋은 클린 점심을 드시고 싶은 분들에겐 너무 추천하고 싶네요!혹은 깔끔한 식단이나 관리에도 맛있고 즐겁게 먹을 수 있는 포케입니다! 다양하게 여러가지 재료들이 자칫 질릴 수 있는 채소의 맛을 연어와 함께 조화롭게합니다 ㅎㅎ 운동하시거나 다이어트 하는분께도 추천입니다 !
86,슬로우캘리 하남미사점,,미사 포케 맛집 찾다가 슬로우캘리 발견해서 먹으러왔어용 ㅎㅎ 다른 지점보다 더 신선하구 오픈한지 얼마 안된 매장이여서 그런지 엄청 깔끔하고 사장님도 너무 친절하세용 ㅎㅎ 미사 올때마다 먹으러 와야겠어용🫶
87,슬로우캘리 하남미사점,,너무 좋아하는 포케집이라 송리단길점 자주갔는데 미사에 생겨서 너무 좋아요! 어제 왔는데 오늘은 부모님 모시고 또 왔네요☺️건강한데 맛있어서 자주 오려구요!🥰모두 맛있게 드시고 건강하세요❣️
88,슬로우캘리 하남미사점,,처음 방문 해 봅니다.포장해가는데 잘 먹고 계속 단골이 되었으면좋겠네요.
89,슬로우캘리 하남미사점,,포장해서 먹었는데 정말 든든하게 잘 먹었어요.행복해요 배도 차고 건강해지는 느낌 !!매장도 너무 좋아서 다음엔 매장에수 먹어보려구오~~
90,담아봄에,,모든김밥이 속이 꽉차서 한줄만 먹어도 든든하고 재료도 넘  신선하니 진짜 맛있어서 자주 찾는 하남 김밥맛집 입니다. 사장님도 친절하시고  김밥맛집으로 무조건 추천합니다~~~
