업종명,업소명,소재지(도로명),소재지전화
휴게음식점,무드베어 케이크,경기도 하남시 미사강변중앙로198번길 29  미사푸르지오시티 B동 3층 317호 (망월동),
휴게음식점,씨유 하남초이중앙점,경기도 하남시 초이로 140  1층 (초이동),
휴게음식점,씨유 미사26단지점,경기도 하남시 미사강변중앙로 100-1  미사강변도시26단지 1층 102호 (풍산동),
휴게음식점,핑크래빗,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 지2층 일부호 (신장동),
휴게음식점,벌툰 하남미사점,경기도 하남시 미사강변동로 85  힐스테이트 에코 미사 4층 401 402 403 427호 (망월동),
휴게음식점,라운드 제로(Round Zero),경기도 하남시 신장동로29번길 40  101호 (신장동),
휴게음식점,장마리(JANGMARI),경기도 하남시 미사강변서로 16  하우스디스마트밸리 1층 알120호 (풍산동),
휴게음식점,아이센스 PC 하남덕풍점,경기도 하남시 신장로 156  하남프라자 5층 502 503 504호 (덕풍동),
휴게음식점,더 벤티(하남덕풍점),경기도 하남시 신장로 175  1층 일부호 (덕풍동),
휴게음식점,김가네(감일점),경기도 하남시 감일백제로180번길 9  호평메디컬타워 1층 108호 (감이동),
휴게음식점,전설의 왕만두,경기도 하남시 미사강변대로226번길 9  송하빌딩 1층 103호 (망월동),
휴게음식점,달콤왕가탕후루 미사역점,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1033호 (망월동),
휴게음식점,원두볶는사람들,경기도 하남시 미사강변북로30번길 42  1층 일부호 (망월동),
휴게음식점,달콤왕가탕후루 하남감일점,경기도 하남시 감일백제로 109  M타워 감일 1층 103호 (감이동),
휴게음식점,메가엠지씨커피 미사SK V1점,경기도 하남시 미사강변한강로 155  미사강변 SK V1 center 1층 113호  114호호 (망월동),
휴게음식점,콜더 커피(colder coffee),경기도 하남시 미사대로 510  한강미사 아이에스비즈 2층 231호 (덕풍동),
휴게음식점,씨유 미사인스타시티점,경기도 하남시 조정대로 71  인스타시티 1층 113호 (풍산동),
휴게음식점,욜로PC방 하남신장점,경기도 하남시 하남대로 780  광장빌딩 2층 (신장동),
휴게음식점,메가엠지씨커피 학암힐스테이트점,경기도 하남시 위례대로6길 15  지1층 115호 116호 (학암동  힐스테이트 센트럴 위례),
휴게음식점,싱그러움,경기도 하남시 감일로124번길 5-2  감일동 하남감일 공공주택지구 단독5 4-1 1층 일부호 (감일동),
휴게음식점,나비 꼬마김밥,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 지1층 B1027호 (망월동),
휴게음식점,세븐일레븐 경기하남신장점,경기도 하남시 신장로 97  1층 (신장동),
휴게음식점,초이스 스크린 골프,경기도 하남시 초이로 81-31  2층 (초이동),
휴게음식점,씨유 미사골든센트로점,경기도 하남시 미사강변동로 50-1  미사강변 골든 센트로(GOLDEN CENTRO) 1층 101호 (망월동),
휴게음식점,소프트럭,경기도 하남시 하남대로 947  하남테크노밸리 U1 CENTER 2층 A-265호 (풍산동),
휴게음식점,밀포리제과점,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 2층 207호 (망월동),
휴게음식점,오마뎅(하남감일점),경기도 하남시 감일백제로180번길 20  반도 유스퀘어 1층 107호 (감이동),
휴게음식점,타카플레이카페,경기도 하남시 미사강변대로226번길 26  미사원프라자 4층 401-1호 (망월동),
휴게음식점,곱창 야시장,경기도 하남시 감일중앙로 20  키즈스테이션 옆 출입구호 (감이동  감일에코앤e편한세상),
휴게음식점,산타마리아,경기도 하남시 미사강변한강로 134  1층 일부호 (망월동),031 -553 -3314
휴게음식점,뽀뜨로,경기도 하남시 미사강변중앙로111번길 38  지하1층 일부 및 1층 (풍산동), 031- 792-8297
휴게음식점,메가엠지씨커피 하남덕풍시장점,경기도 하남시 하남대로 843  신정프라자 1층 101호 (덕풍동),
휴게음식점,어거스트(AUGUST)3,경기도 하남시 미사강변동로 81  미사역 큐브앤 타워 1층 111호 (망월동),
휴게음식점,써브웨이 하남감일점(subway),경기도 하남시 감일백제로 181  1층 103 104호 (감이동), 02 - 477-8248
휴게음식점,메머드커피 미사학원가점,경기도 하남시 미사강변대로 64  제일아이조움 1층 107호 (풍산동),
휴게음식점,지에스(GS)25 하남푸르지오점,경기도 하남시 덕풍동로 111-33  하남푸르지오시티 1층 110호 (덕풍동),
휴게음식점,매머드 익스프레스 하남시청점,경기도 하남시 대청로 26  102호의 일부호 (신장동),
휴게음식점,세븐일레븐 미사강변파밀리에점,경기도 하남시 아리수로 589-1  미사강변파밀리에 상가동 1층 102호 (망월동),
휴게음식점,빵에 이야기를 담다,경기도 하남시 미사강변동로84번길 29  미사역 헤리움 애비뉴어 1층 109호 (망월동),
휴게음식점,공복식당,경기도 하남시 미사강변한강로 270-1  미사강변 호반 써밋 201동 1층 1-197호 (망월동),
휴게음식점,매일의 즐거움 하남맘스마켓,경기도 하남시 미사강변한강로 135  미사강변 스카이폴리스 지1층 B175호 일부호 (망월동),
휴게음식점,부산 빨간어묵포차 하남점,경기도 하남시 덕풍서로 70  하남풍산지구 이마트 1층 일부호 (덕풍동),
휴게음식점,고오카페(Go-oh cafe),경기도 하남시 대성로299번길 39  1층 일부호 (신장동),
휴게음식점,플러스82 하남미사점,경기도 하남시 미사강변대로 212  미사센트럴프라자 1층 103호 (망월동),
휴게음식점,올댓마켓 감일점,경기도 하남시 감일로88번길 30  1층 일부호 (감일동),
휴게음식점,원두밭,경기도 하남시 미사강변중앙로 157  리버테라스 3층 303호 (망월동),
휴게음식점,샬로우커피 하남미사점,경기도 하남시 미사강변북로30번안길 31  1층 (망월동),
휴게음식점,국대거모,경기도 하남시 대청로 119  103동 앞 주차장 중앙통로 일부호 (창우동  부영아파트),
휴게음식점,씨유 하남에코3단지점,경기도 하남시 하남대로802번길 121  에코타운3단지 상가동 3층 302호 (신장동),
휴게음식점,세븐일레븐 미사한강공원점,경기도 하남시 미사강변한강로 110-1  리버나인 RIVERNINE 1층 103 104호 (선동),
휴게음식점,1058베이킹스튜디오,경기도 하남시 미사강변동로 74  일옹미사타워 1층 101호 (망월동),
휴게음식점,주원이네,경기도 하남시 대청로 119  103동 앞 주차장(중앙통로 일부)호 (창우동  부영아파트),
휴게음식점,카페 이슬라,경기도 하남시 위례순환로 318  1층 일부호 (학암동),
휴게음식점,애플앤베리,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 제201동 제1층 제1-145호 (망월동),
휴게음식점,메가엠지씨커피 미사현대지식산업센터점,경기도 하남시 미사대로 520  현대지식산업센터 한강미사2차(25BL) 1층 DC01-009호 (덕풍동),
휴게음식점,우지커피 하남미사강변점,경기도 하남시 미사강변대로34번길 82  골드프라자 1층 107호 (풍산동),
휴게음식점,메가엠지씨커피 하남감일백제점,경기도 하남시 감일백제로83번길 24  G골든프라자 1층 113호 (감이동),
휴게음식점,킷짐(KITGYM),경기도 하남시 미사강변중앙로 181  3층 314의 일부호 (망월동),
휴게음식점,뵈르온,경기도 하남시 미사강변한강로334번안길 20  1층 일부호 (망월동),
휴게음식점,오늘도빙수(하남점),경기도 하남시 미사강변중앙로 161  미사파크뷰 3층 309의 일부호 (망월동),
휴게음식점,위캔드 그리니치(Weekend Greenwich),경기도 하남시 감일로 134  1층 일부호 (감일동),
휴게음식점,털보고된이 신세계 하남점,경기도 하남시 미사대로 750  스타필드 하남 지하 2층 (신장동),
휴게음식점,스트리트 29(STREET 29),경기도 하남시 검단남로 29-1  1층 일부호 (하산곡동),
휴게음식점,달콤왕가탕후루 하남 덕풍점,경기도 하남시 신장로 147-1  1층 일부호 (덕풍동),
휴게음식점,하남(만)휴게소(10원빵),경기도 하남시 중부고속도로 117 (천현동),031 -796 -6709
휴게음식점,코코케이크,경기도 하남시 미사강변대로226번안길 15  상아프라자 1층 106호 (망월동),
휴게음식점,씨유 감일스윗시티점,경기도 하남시 감일백제로 65-1  감일 한라비발디 상가동 1층 106호 (감이동),
휴게음식점,애플꼬마김밥 미사점,경기도 하남시 미사강변중앙로 120-1  미사강변아란티움 1층 108호 (풍산동),
휴게음식점,우지커피 미사역점,경기도 하남시 미사강변동로 85  힐스테이트 에코 미사 1층 103호 (망월동),
휴게음식점,죠샌드위치 하남미사점,경기도 하남시 미사강변중앙로31번길 15  희가로 프리미어 1층 112호 (풍산동),
휴게음식점,세븐일레븐 하남위례우미린점,경기도 하남시 위례대로6길 100-1  상가동 1층 106  107호 (학암동),
휴게음식점,세븐일레븐 미사스마트밸리점,경기도 하남시 미사강변서로 16  하우스디스마트밸리 1층 R109  R110호 (풍산동),
